"SampleID",SampleType,SampleSource,Host/SampleName,CollectionDate,CollectorName,CollectionMethod,CollectionDepth_cm,Latitude,Longitude,Elevation,DNAExtractionProtocol,ExtractorName,ExtractionDate,FwdPrimer,RevPrimer,AmplicationDate,LibraryPrepDate,DNAConcentration [ng/uL],LibraryMethod,FwdBarcode,RevBarcode,Library-Run_Name,SampleDescription,Project_Name,Plate,PlateLocation,SequencingRun_Name,Burned,BurnYear,Diet,ActivityLevel,Age,Gender,Ethnicity,WeeklyChewTobacco,WeeklyAlcohol,WeeklyCigarettes,WeeklyVape,WeeklyDrugs
"OF230",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A508,i7_A705,,Oral_Mycobiome_OF230,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,22,Male,Caucasian,0,0,0,0,0
"OF225",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B503,i7_A705,,Oral_Mycobiome_OF225,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,22,Male,Caucasian,0,0,0,0,0
"OF221",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Joseph Jimenez,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B506,i7_A711,,Oral_Mycobiome_OF221,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,18,Female,Caucasian,0,0,0,0,0
"OF220",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B506,i7_A708,,Oral_Mycobiome_OF220,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,20,Female,Caucasian,0,0,0,0,0
"OF216",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A504,i7_A706,,Oral_Mycobiome_OF216,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,21,Male,AfricanAmerican,0,0,0,0,0
"OF213",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A506,i7_A704,,Oral_Mycobiome_OF213,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,21,Female,Caucasian,0,0,0,0,0
"OF212",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B503,i7_A706,,Oral_Mycobiome_OF212,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,20,Male,Caucasian,0,0,0,0,0
"OF210",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A506,i7_A711,,Oral_Mycobiome_OF210,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,19,Female,Caucasian,0,0,0,0,0
"OF208",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A709,,Oral_Mycobiome_OF208,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,24,Male,Hispanic,0,4,0,0,0
"OF207",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A707,,Oral_Mycobiome_OF207,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,27,Male,Caucasian,0,0,0,0,0
"OF205",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B507,i7_A707,,Oral_Mycobiome_OF205,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,27,Female,Hispanic,0,0,0,0,0
"OF204",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B506,i7_A709,,Oral_Mycobiome_OF204,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,20,Male,Caucasian,0,0,0,0,0
"OF203",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-04-09,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B504,i7_A710,,Oral_Mycobiome_OF203,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,19,Female,Caucasian,0,0,0,0,0
"OF201",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B508,i7_A712,,Oral_Mycobiome_OF201,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,20,Male,Caucasian,0,0,0,0,0
"OF198",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A708,,Oral_Mycobiome_OF198,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,21,Female,Caucasian,0,0,0,0,0
"OF191",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B508,i7_A707,,Oral_Mycobiome_OF191,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,24,Male,Caucasian,0,0,0,0,0
"OF190",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A710,,Oral_Mycobiome_OF190,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,20,Female,Caucasian,0,0,0,0,0
"OF189",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A507,i7_A711,,Oral_Mycobiome_OF189,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,23,Male,Caucasian,0,0,0,0,0
"OF188",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B501,i7_A712,,Oral_Mycobiome_OF188,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,24,Female,Hispanic,0,0,0,0,0
"OF187",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A506,i7_A703,,Oral_Mycobiome_OF187,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,28,Male,PacificIslander,0,0,0,0,0
"OF186",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Joseph Jimenez,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B507,i7_A702,,Oral_Mycobiome_OF186,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,19,Male,Caucasian,0,0,0,0,0
"OF185",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A508,i7_A711,,Oral_Mycobiome_OF185,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,63,Female,Caucasian,0,0,0,0,0
"OF182",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Joseph Jimenez,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B507,i7_A706,,Oral_Mycobiome_OF182,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,24,Female,Caucasian,0,0,0,0,0
"OF180",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B505,i7_A703,,Oral_Mycobiome_OF180,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,19,Male,Caucasian,0,0,0,0,0
"OF176",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A506,i7_A706,,Oral_Mycobiome_OF176,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,35,Female,Caucasian,0,3,0,0,0
"OF175",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A705,,Oral_Mycobiome_OF175,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,19,Female,Caucasian,0,0,0,0,0
"OF173",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A504,i7_A702,,Oral_Mycobiome_OF173,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,19,Male,Caucasian,0,0,0,0,0
"OF171",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A508,i7_A709,,Oral_Mycobiome_OF171,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,21,Male,Caucasian,0,0,0,0,0
"OF168",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B502,i7_A712,,Oral_Mycobiome_OF168,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,22,Female,Asian,0,1,0,1,0
"OF163",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B505,i7_A706,,Oral_Mycobiome_OF163,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,22,Male,Hispanic,0,0,0,0,0
"OF162",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A706,,Oral_Mycobiome_OF162,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,21,Female,Other,0,0,0,0,0
"OF161",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B501,i7_A705,,Oral_Mycobiome_OF161,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,25,Male,Caucasian,0,0,0,7,0
"OF160",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B508,i7_A709,,Oral_Mycobiome_OF160,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,22,Male,Caucasian,0,0,0,0,0
"OF158",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A505,i7_A708,,Oral_Mycobiome_OF158,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,20,Male,Caucasian,0,0,0,0,0
"OF157",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Joseph Jimenez,2018-06-26,ITS1f-Next,ITS2-Next,NA,,,2-Step PCR,NA,NA,,Oral_Mycobiome_OF157,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,23,Male,Hispanic,0,1,0,0,0
"OF156",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-04-09,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B502,i7_A710,,Oral_Mycobiome_OF156,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,0,18,Female,Caucasian,0,0,0,0,0
"OF155",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A504,i7_A705,,Oral_Mycobiome_OF155,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,27,Male,Caucasian,0,0,0,0,0
"OF154",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B503,i7_A702,,Oral_Mycobiome_OF154,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,24,Male,Caucasian,0,3,0,0,0
"OF152",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A507,i7_A710,,Oral_Mycobiome_OF152,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,21,Male,Caucasian,0,0,0,0,0
"OF150",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Joseph Jimenez,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B504,i7_A704,,Oral_Mycobiome_OF150,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,25,Male,Caucasian,0,0,0,0,0
"OF149",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A506,i7_A709,,Oral_Mycobiome_OF149,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,25,Female,Hispanic,0,0,0,0,0
"OF148",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B504,i7_A707,,Oral_Mycobiome_OF148,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,21,Female,Caucasian,0,0,0,0,0
"OF147",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B505,i7_A710,,Oral_Mycobiome_OF147,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Vegetarian,3-4,44,Male,Caucasian,0,7,0,0,0
"OF146",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Joseph Jimenez,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B505,i7_A705,,Oral_Mycobiome_OF146,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,26,Male,Caucasian,0,0,0,0,0
"OF145",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A505,i7_A707,,Oral_Mycobiome_OF145,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,21,Female,Caucasian,0,1,0,0,0
"OF144",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B508,i7_A711,,Oral_Mycobiome_OF144,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,30,Male,Hispanic,0,0,0,0,0
"OF143",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B503,i7_A712,,Oral_Mycobiome_OF143,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,21,Female,Hispanic,0,0,0,0,0
"OF136",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B505,i7_A709,,Oral_Mycobiome_OF136,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Vegetarian,1-2,18,Female,Caucasian,0,0,0,0,0
"OF132",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B505,i7_A712,,Oral_Mycobiome_OF132,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Vegetarian,1-2,19,Female,Caucasian,0,0,0,0,0
"OF127",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A506,i7_A702,,Oral_Mycobiome_OF127,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,5-7,18,Female,Caucasian,0,0,0,0,0
"OF124",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-04-09,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B504,i7_A708,,Oral_Mycobiome_OF124,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,22,Female,Caucasian,0,0,0,0,0
"OF123",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-04-09,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B507,i7_A710,,Oral_Mycobiome_OF123,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,22,Female,Caucasian,0,0,0,0,0
