,SampleID,SampleType,SampleSource,Host_SampleName,CollectionDate,Latitude,Longitude,Elevation,DNAExtractionProtocol,ExtractorName,SampleDescription,Project_Name,Set_ID,FireTreatment,BurnYear,Year_,Month_,Day_,ObjectID_1,InOrOut,Lat,Lon,BurnDate,ELEVATION_AVG,SLOPE_AVG,SLOPE_MAX,ASPECT_DOM,CANOPY_2001,POP_DEN_2000,POP_2000,SOIL_DOM,GEOLOGY_DOM,PRECIP_1,PRECIP_2,PRECIP_3,PRECIP_4,PRECIP_5,PRECIP_6,PRECIP_7,PRECIP_8,PRECIP_9,PRECIP_10,PRECIP_11,PRECIP_12,TMEAN_1,TMEAN_2,TMEAN_3,TMEAN_4,TMEAN_5,TMEAN_6,TMEAN_7,TMEAN_8,TMEAN_9,TMEAN_10,TMEAN_11,TMEAN_12,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8,TMIN_9,TMIN_10,TMIN_11,TMIN_12,TMAX_1,TMAX_2,TMAX_3,TMAX_4,TMAX_5,TMAX_6,TMAX_7,TMAX_8,TMAX_9,TMAX_10,TMAX_11,TMAX_12,ANNUAL_MEAN_TEMP,ANNUAL_PRECIP,ISOTHERMALITY,MAX_TEMP_WARMEST_MONTH,MEAN_DIURNAL_RANGE,MEAN_TEMP_COLDEST_QUARTER,MEAN_TEMP_DRIEST_QUARTER,MEAN_TEMP_WARMEST_QUARTER,MEAN_TEMP_WETTEST_QUARTER,MIN_TEMP_COLDEST_MONTH,PRECIP_COLDEST_QUARTER,PRECIP_DRIEST_MONTH,PRECIP_DRIEST_QUARTER,PRECIP_SEASONALITY,PRECIP_WARMEST_QUARTER,PRECIP_WETTEST_MONTH,PRECIP_WETTEST_QUARTER,TEMP_ANNUAL_RANGE,TEMP_SEASONALITY,Soil_Description,to_keep,ID,Shannon,NewPastedVar
NonBurn_Set_1,NA,1,1,12,2,38.52704,-111.77353,2969,1,1,16,1,Set_1,NonBurn,2015,2015,4,14,1603,2,38.528712,-111.773421,11,300033,9.1717472076416,11.0654640197754,3,18.74,0,0,674564,82,44,43,55,37,38,26,50,60,44,39,42,46,-7.9,-7.2,-5.2,-0.9,4,9.2,13.2,12,8,3.1,-3.3,-7.1,-15.2,-14.2,-11.7,-7.7,-3.5,0.7,4.9,4.1,0,-4.4,-10,-14.2,-0.5,-0.1,1.4,6,11.6,17.7,21.5,20,16.1,10.7,3.5,0,-7.9,524,40,-7.2,149,-5.2,-0.9,4,9.2,13.2,133,26,101,19,136,60,154,12,8,7,1,6,3.01898324246767,NA
NonBurn_Set_10,NA,1,1,9,4,41.49117,-111.99463,1483,1,1,4,1,Set_10,NonBurn,2006,2006,8,23,704,2,41.491142,-111.994484,6,149258,21.6930732727051,26.1550464630127,1,51.71,0,0,674339,37,52,49,54,57,56,38,21,25,38,46,51,53,-5.2,-2.6,1.8,6.6,11.7,16.7,21.4,20.4,14.9,8.7,1.7,-3.9,-10.5,-8.5,-4.1,0,4.3,8.5,12.4,11.5,6.3,0.9,-4.1,-9.1,0.3,3.3,7.7,13.3,19.1,25,30.4,29.3,23.6,16.6,7.5,1.2,-5.2,540,34,-2.6,141,1.8,6.6,11.7,16.7,21.4,154,21,84,25,84,57,167,20.4,14.9,1,1,15,3.3031298472622,NA
NonBurn_Set_11,NA,1,1,12,3,41.60682,-111.60818,1643,1,1,7,1,Set_11,NonBurn,2015,2015,9,25,1628,2,41.606838,-111.608181,12,165933,13.74596118927,30.7330360412598,3,25.74,0,0,674339,118,42,38,42,48,45,35,21,26,36,40,42,43,-6.9,-4.9,-0.6,4.5,9.2,13.7,17.9,16.9,11.9,6.3,-0.4,-5.9,-13.9,-12.2,-7.4,-2.8,0.8,4.2,7.3,6.4,1.7,-3.2,-7.5,-12.7,0.1,2.5,6.3,11.9,17.7,23.3,28.5,27.5,22.2,15.8,6.7,1,-6.9,464,39,-4.9,168,-0.6,4.5,9.2,13.7,17.9,125,20,80,21,80,49,139,16.9,11.9,1,1,8,2.91364408554968,NA
NonBurn_Set_2,NA,1,1,10,10,39.9417,-111.78191,1706,1,1,19,1,Set_2,NonBurn,2007,2007,6,17,254,2,39.942171,-111.781958,7,171858,15.9308586120605,24.4690551757813,4,34.41,0,0,674693,-109,41,41,51,46,42,25,24,30,35,43,44,44,-4,-1.3,2.6,7.1,12.1,17.4,21.7,20.6,15.4,9.2,2.5,-3.1,-10,-7.5,-4,-0.3,3.9,8.3,12.5,11.5,6.4,1,-3.9,-8.8,2,5,9.3,14.5,20.3,26.5,31,29.8,24.4,17.5,9,2.6,-4,474,37,-1.3,152,2.6,7.1,12.1,17.4,21.7,129,25,82,20,82,52,140,20.6,15.4,9,1,10,3.20201601323835,NA
NonBurn_Set_3,NA,1,1,10,1,40.0185893333333,-111.498318333333,1520,1,1,24,1,Set_3,NonBurn,2007,2008,8,15,46,2,40.018622,-111.720207,9,152806,17.829984664917,26.7734909057617,1,20.32,6,2,674680,43,42,42,51,48,43,25,23,29,34,44,46,44,-3.5,-0.5,3.5,8,13.2,18.3,22.8,21.4,16.3,10,3.1,-2.5,-9.2,-6.7,-3.1,0.6,5,9.3,13.6,12.4,7.3,1.8,-3.3,-7.9,2.3,5.6,10.3,15.5,21.4,27.4,32,30.6,25.3,18.2,9.5,3,-3.5,458,36,-0.5,150,3.5,8,13.2,18.3,22.8,123,22,75,22,75,50,139,21.4,16.3,8,1,11,2.36549495249523,NA
NonBurn_Set_4,NA,1,1,11,6,40.11798,-111.33787,1812,1,1,27,1,Set_4,NonBurn,2012,2012,8,19,679,2,40.117966,-111.335199,10,187648,22.0796718597412,31.9264888763428,1,45.15,0,0,674411,7,51,49,47,40,39,27,27,32,38,44,48,51,-6.2,-3.7,0.9,5.6,10.5,15.2,19.3,18.2,13.5,7.8,0.7,-5.1,-12.9,-10.7,-6.2,-2,1.9,5.8,9.6,8.6,4,-0.9,-6.1,-11.4,0.6,3.4,8,13.3,19.1,24.7,29,27.9,23,16.5,7.6,1.3,-6.2,493,38,-3.7,162,0.9,5.6,10.5,15.2,19.3,151,27,86,20,86,51,151,18.2,13.5,5,1,13,2.09240206760142,NA
NonBurn_Set_5,NA,1,1,9,5,40.15741,-111.53829,1628,1,1,35,1,Set_5,NonBurn,2006,2006,6,5,895,2,40.157489,-111.53819,5,163549,34.3605766296387,37.7019081115723,3,3.24,0,0,674387,5,54,52,58,53,46,27,22,28,37,49,54,56,-3.4,-0.4,3.9,8.5,13.5,18.4,22.8,21.5,16.6,10.4,3.2,-2.4,-9.2,-6.8,-3,0.8,5,9.1,13.2,12.1,7.3,1.9,-3.2,-7.8,2.4,6,10.8,16.2,22.1,27.8,32.4,31,25.9,18.9,9.7,3.1,-3.4,536,37,-0.4,156,3.9,8.5,13.5,18.4,22.8,162,22,77,27,77,58,164,21.5,16.6,2,1,21,2.93784821238674,NA
NonBurn_Set_6,NA,1,1,8,7,40.2859,-111.63174,1660,1,1,38,1,Set_6,NonBurn,2003,2003,8,15,883,2,40.285884,-111.631759,3,166494,29.7874431610107,38.8780746459961,4,19.12,3,1,674389,118,54,52,56,52,47,28,23,28,38,50,53,55,-3.4,-0.4,3.5,8.1,13.2,18.1,22.5,21.3,16.2,10,3,-2.4,-9.1,-6.8,-3.3,0.5,4.7,8.8,12.9,11.8,6.9,1.6,-3.3,-7.7,2.4,6.1,10.4,15.7,21.7,27.5,32.2,30.9,25.6,18.5,9.3,3,-3.4,533,37,-0.4,155,3.5,8.1,13.2,18.1,22.5,160,23,79,26,79,56,161,21.3,16.2,3,1,19,2.43545859587303,NA
NonBurn_Set_7,NA,1,1,7,11,40.34813,-111.55259,1653,1,1,43,1,Set_7,NonBurn,2000,2000,7,26,1459,2,40.348102,-111.552615,2,166129,13.6941804885864,35.5107879638672,3,26.29,1,0,674417,43,63,59,57,50,47,30,26,31,41,53,59,62,-4.6,-2,1.9,6.6,11.6,16.5,20.8,19.8,14.8,8.8,1.7,-3.7,-10.7,-8.7,-5,-1.1,2.9,6.9,10.7,9.8,5.2,0.1,-4.8,-9.5,1.6,4.8,8.9,14.3,20.3,26.1,30.9,29.8,24.5,17.5,8.2,2.1,-4.6,578,38,-2,161,1.9,6.6,11.6,16.5,20.8,184,26,87,26,87,63,184,19.8,14.8,6,1,4,1.51814108251011,NA
NonBurn_Set_8,NA,1,1,8,9,40.42167,-111.53309,1937,1,1,46.5,1,Set_8,NonBurn,2003,2003,9,23,874,2,40.421916,-111.53317,4,194683,12.7048654556274,19.9986000061035,2,68.03,0,0,674417,26,66,61,56,50,47,31,27,32,41,51,59,62,-5,-2.6,1.2,5.8,10.8,15.7,19.8,18.9,13.9,8.2,1.1,-4.1,-11.4,-9.5,-5.7,-1.9,2,6,9.7,8.9,4.2,-0.5,-5.5,-10.2,1.4,4.3,8.2,13.5,19.6,25.4,30,28.9,23.7,17,7.8,2.1,-5,584,39,-2.6,163,1.2,5.8,10.8,15.7,19.8,189,27,90,26,90,66,189,18.9,13.9,6,1,17,2.02747308043384,NA
NonBurn_Set_9,NA,1,1,7,8,40.63437,-111.18636,2176,1,1,53,1,Set_9,NonBurn,2000,2000,6,18,1452,2,40.634394,-111.186356,1,218140,8.14802265167236,11.043173789978,3,12.82,8,2,674417,118,47,47,45,44,41,30,29,32,39,43,46,46,-6.2,-4.4,-1.3,3.4,8.3,13.2,17.6,16.5,11.8,6.4,-0.5,-5.4,-13,-11.4,-8,-3.9,0.2,4.2,8.1,7.1,2.6,-2,-7.2,-12.1,0.7,2.6,5.4,10.7,16.5,22.3,27.1,25.9,21,14.9,6.3,1.3,-6.2,519,39,-4.4,154,-1.3,3.4,8.3,13.2,17.6,151,30,95,17,95,51,151,16.5,11.8,6,1,2,3.09069415804565,NA
